,backbone,mono_subs,di_subs
286,*c1c([H])c2c3c(c1[H])-*1c4c([H])c([H])c([H])c([H])c4c4c([H])c([H])c([H])c(c14)*3c1c([H])c([H])c([H])c3c1*-2c1c([H])c([H])c([H])c([H])c13,[8*]O[H],
287,*c1c([H])*c2c([H])c([H])c(Br)c([H])c12,[13*]c1c(F)c(F)c(F)c(F)c1F,
288,*-c1c([H])c([H])c2c(c1[H])*c1c([H])c(-*)c([H])c([H])c1*2,[7*]c1c(C([H])([H])[H])c([H])c(OC([H])([H])[H])c([H])c1C([H])([H])[H],
289,*C(=O)*C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1(*)c1c([H])c([H])c(Cl)c([H])c1[H],[4*]c1c([H])c([H])c([H])c([H])c1P(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],
290,[H]c1c2c3c(c([H])c1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])*c1c(c([H])c4c([H])c([H])c5c([H])c([H])c([H])c([H])c5c4c1[H])*3c1c(c([H])c3c(c1[H])c([H])c([H])c1c([H])c([H])c([H])c([H])c13)*2,[13*]C([H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],
291,[H]c1c([H])c([H])c2c(c1[H])**(c1c(C([H])([H])[H])c([H])c3oc(=O)*c3c1C([H])([H])[H])c1c-2c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],[1*]c1c([H])c([H])c([H])c([H])c1[H],
292,[H]C1=C(c2c([H])c([H])c([H])c([H])c2[H])*C([H])(C([H])=C([H])c2c([H])c([H])c([H])c([H])c2[H])*1,[2*]c1c([H])c([H])c([H])c([H])c1[H],
293,*C(*)=*c1c(*)c([H])c([H])c([H])c1[H],[17*]=O,
294,[H]c1c([H])c([H])c2c(c1[H])*c1c([H])c(C([H])([H])[H])c([H])c3c1*2c1c([H])c2c(c([H])c1*3)C1(c3c([H])c([H])c([H])c([H])c3-2)C2([H])C([H])([H])C3([H])C([H])([H])C([H])(C2([H])[H])C([H])([H])C1([H])C3([H])[H],[15*]c1c([H])c([H])c(Cl)c([H])c1[H],
295,*C(=C([H])[H])C1([H])*C([H])(C([H])([H])C([H])([H])[H])c2c([H])c([H])c([H])c([H])c21,[50*]c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],
296,**(*)C1([H])*C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C12C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],[1*]O[H],
297,*-c1c(*)c(C([H])([H])[H])c([H])c([H])c1[H],[10*]c1c([H])c([H])c([H])c([H])c1[H],
298,[H]c1c(F)c([H])c2c(*c3c([H])c4c(c([H])c32)*c2c(c([H])c3*c5c([H])c([H])c(F)c([H])c5c3c2[H])*4)c1[H],[3*]C(=O)C([H])([H])[H],
299,*c1*c([H])c([H])*1,[34*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],
300,*C(*)=C([H])c1c([H])c([H])c([H])c([H])c1[H],[11*][H],
301,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1C1=*O**1,[15*]C([H])([H])[H],
302,*C([H])(C([H])([H])[H])C1(c2c([H])c([H])c([H])c([H])c2[H])*S(=O)(=O)c2c([H])c([H])c([H])c([H])c21,[16*]C(=O)OC([H])([H])c1c([H])c([H])c([H])c([H])c1[H],
303,*c1c(OC([H])([H])C([H])([H])[H])*c([H])c([H])c1[H],[25*]=O,
304,[H]c1*2c([H])c(*3*C(c4c([H])c([H])c([H])c([H])c4[H])=*O3)c([H])c2c([H])c([H])c1[H],[17*][O-],
305,[H]c1c([H])c([H])c(C2(c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c([H])c([H])c([H])c3N3c4c([H])c([H])c([H])c5c4B(c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4O5)c4c([H])c([H])c([H])c2c43)c([H])c1[H],[1*]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],
306,*C1([H])*C(=O)C(C([H])([H])[H])(C([H])([H])[H])C(=O)*1,[12*]c1c([H])c([H])c(C(F)(F)F)c([H])c1[H],
307,[H]c1c(-c2c([H])c([H])c([H])c3c2oc2c([H])c([H])c([H])c([H])c23)c([H])c2c3c1-n1c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c41)B3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4n-2c13,[9*]O[H],
308,*C([H])(c1c([H])c([H])c([H])c([H])c1[H])C(*)([H])[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[16*]C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],
309,[*+]c1c([H])c([H])c(-c2*c(C([H])([H])[H])c3c(c2*2*c4c([H])c([H])c([H])c([H])c4C([H])=C2[H])C([H])([H])OC3([H])[H])c([H])c1[H],[1*]Cl,
310,*c1c([H])c([H])c([H])c(O[H])c1C1([H])*C([H])([H])C([H])([H])S1,[7*]O[H],
311,**(*)C1=*C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],[7*]c1c([H])c([H])c([H])c([H])c1F,
312,[H]c1c([H])c([H])c2c(c1[H])*c1c([H])c([H])c3c4c1*2c1c([H])c([H])c([H])c([H])c1-c4c([H])c1c([H])c2c([H])c([H])c([H])c([H])c2c([H])c13,[6*]S(=O)(=O)c1c([H])c([H])c([H])c2c([H])c([H])c([H])nc12,
313,*c1c([H])*c(Cl)*c1[H],[10*]c1c([H])c([H])c2c(c1[H])C(C([H])([H])[H])(C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1O2,
314,*C([H])([H])C1([H])*C([H])([H])C([H])([H])C1([H])[H],[7*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],
315,*c1c([H])*c([H])*c1[H],[15*]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],
316,[H]c1c([H])c([H])c2c(c1[H])*C([H])([H])C1=C2c2c([H])c([H])c([H])c3c([H])c([H])c([H])c(c23)*1,[8*][H],
317,*C(=O)c1c(*)c([H])c([H])c([H])c1[H],[10*]c1c([H])c([H])c([H])c([H])c1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],
318,*c1c([H])c([H])c2c([H])c([H])c([H])c(*)c2c1*,[16*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],
319,*C1(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])=C(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])*C1([H])[H],[16*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],
320,[H]c1c([H])c([H])c2c(c1[H])*C(C(=O)OC([H])([H])[H])=C(C(=O)OC([H])([H])[H])*2,[12*]c1c([H])c([H])c([H])c([H])c1[H],
321,[H]c1c([H])c([H])c2c(c1[H])**C2([H])P(=O)(OC([H])([H])C([H])([H])[H])OC([H])([H])C([H])([H])[H],[31*]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],
322,[H]Oc1c([H])c([H])c2c(c1[H])C([H])=**(c1*c(OC([H])([H])[H])c([H])c([H])c1[H])*2,[26*]C(=O)OC([H])([H])c1c([H])c([H])c([H])c([H])c1[H],
323,[H]c1c([H])c2c3c(c1[H])-n1c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c41)B3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c1O2,[15*]c1c(C(F)(F)F)c([H])c(C(F)(F)F)c([H])c1C(F)(F)F,
324,*C(=*)[H],[26*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],
325,*C1=C(c2c([H])c([H])c([H])c([H])c2[H])C(C([H])([H])Cl)=C(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])*C1([H])[H],[19*]c1c([H])c([H])c([H])c([H])c1[H],
326,*c1c(-*)c([H])c(C(F)(F)F)c([H])c1[H],[7*]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],
327,[H]c1c([H])c([H])c([Si](c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c4c5c(c3[H])-n3c6c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c6c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c63)B5c3c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c6n-4c35)c([H])c2[H])c([H])c1[H],[13*]S(=O)(=O)c1c([H])c([H])c([H])c2c([H])c([H])c([H])nc12,
328,*C(*)([H])C([H])(C([H])([H])[H])C([H])([H])[H],[12*]O[H],
329,*C([H])([H])C1([H])*C([H])([H])C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c([H])c2[H])C1([H])[H],[5*]C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],
330,*=C(*1*C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O1)c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H],[3*]S(=O)(=O)c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],
331,*c1c([H])*c2c(OC([H])([H])[H])c([H])c([H])c([H])c12,[11*]O[H],
332,*C([H])(c1c([H])c([H])c([H])c([H])c1[H])C(*)([H])C([H])([H])[H],[8*]c1c([H])c([H])c([H])c([H])c1OC([H])([H])[H],
333,*c1c([H])c(*)c(C([H])=C([H])c2*c(C([H])([H])[H])c([H])c([H])c2[H])c([H])c1[H],[1*][H],
334,[H]c1c([H])c(-c2c([H])c3c4c(c2[H])-n2c5c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5c5c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c52)B4c2c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c5c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c5n-3c24)c([H])c([H])c1F,[9*]c1c(F)c(F)c(F)c(F)c1F,
335,*c1c([H])*c2c([H])c([H])c(C([H])([H])[H])c([H])c12,[55*]c1c([H])c([H])c([H])c([H])c1[H],
336,*C(*)([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],[10*]C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)C([H])([H])[H],
337,[H]C([H])([H])C1([H])*C([H])([H])C([H])([H])C([H])([H])*C1([H])[H],[3*][Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],
338,*c1c([H])*c(Cl)c(F)c1[H],[15*]C(=O)C(F)(F)F,
339,[H]c1c([H])c([H])c(C2(c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c([H])c([H])c([H])c3N3c4c([H])c([H])c([H])c5c4B(c4c([H])c([H])c([H])c2c43)c2c([H])c([H])c([H])c3c2N5c2c([H])c([H])c([H])c([H])c2C3(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],[13*]O[H],
340,*c1c([H])c(*)c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c1[H],[13*]c1c([H])c([H])c(F)c([H])c1[H],
341,[H]c1c([H])c([H])c(C2(c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c([H])c([H])c([H])c3N3c4c5c(c([H])c([H])c42)-n2c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c42)B5c2c3c([H])c3c(sc4c([H])c([H])c([H])c([H])c43)c2[H])c([H])c1[H],[11*]C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],
342,*c1c([H])c2c3c(c1[H])*1c4c([H])c([H])c([H])c([H])c4S(=O)(=O)c4c([H])c([H])c([H])c(c41)*3c1c([H])c([H])c([H])c([H])c1*2,[8*]c1c(C(F)(F)F)c([H])c(C(F)(F)F)c([H])c1C(F)(F)F,
343,*c1c([H])c2c3c(c1[H])*c1c([H])c(-c4c([H])c([H])c([H])c([H])c4[H])c([H])c([H])c1*3c1c([H])c([H])c(-c3c([H])c([H])c([H])c([H])c3[H])c([H])c1*2,[15*]O[H],
344,*c1c([H])*c(OC([H])([H])[H])c([H])c1[H],[24*]c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H],
345,*C1([H])C([H])([H])C([H])([H])C2([H])*C1([H])C([H])([H])C2([H])[H],[18*][H],
346,[H]c1c([H])c([H])c(P2(=O)c3c([H])c([H])c([H])c([H])c3-c3c([H])c([H])c(-c4c([H])c5c6c(c4[H])-n4c7c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c7c7c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c74)B6c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c6c7c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c7n-5c46)c([H])c32)c([H])c1[H],[18*]C(=O)c1c([H])c([H])c([H])c([H])c1[H],
347,*c1c([H])c([*+])c([H])c([H])c1C(=O)OC([H])([H])[H],[5*]S(=O)(=O)C([H])([H])C([H])([H])[H],
348,[H]c1c([H])c([H])c2c(c1[H])*c1c([H])c([H])c([H])c3c1*2c1c([H])c([H])c([H])c2c1*3c1c([H])c([H])c([H])c([H])c1S2,[4*]P(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],
349,*C1([H])C([H])([H])O*C1([H])C(=O)c1c([H])c([H])c([H])c([H])c1[H],[18*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],
350,*C(*)([H])c1c([H])c([H])c([H])c([H])c1[H],[11*]c1c(C([H])([H])[H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c1C([H])([H])[H],
351,*C(=O)C1([H])*C([H])(c2c(*)c([H])c([H])c([H])c2O[H])SC1([H])[H],[23*][H],
352,*c1c([H])*c(-*c2*c([H])c([H])c([H])c2c([H])c[H])c([H])c1[H],[25*][Si](c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H],
353,[H]c1c2c3c(c([H])c1S(=O)C([H])([H])[H])-n1c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c41)B3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4n-2c13,[13*]C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],
354,[H]c1*2c(c([H])c1[H])**c1c([H])c([H])c([H])c([H])c1-2,[14*]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],
355,*c1*c([H])c(C2([H])*C([H])([H])C2(*)[H])c([H])c1[H],[10*]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],
356,*c1c([H])c(*)c(C#*)c([H])c1[H],[23*]O[H],
357,*c1c(C(*)([H])[H])c([H])c([H])c([H])c1C(*)([H])[H],[29*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],
358,[H]c1c([H])c([H])c2c(c1[H])-c1c([H])c([H])c([H])c([H])c1C21c2c([H])c([H])c([H])c([H])c2-c2c1c([H])c1c3c2c2c([H])c([H])c([H])c([H])c2n3-c2c([H])c([H])c([H])c3c2B1c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4n-3c12,[2*][H],
359,*c1c([H])c([H])c(C#*)c([H])c1C(*)([H])[H],[17*]c1c(C(F)(F)F)c([H])c(C(F)(F)F)c([H])c1C(F)(F)F,
360,*c1c([H])c2c3c(c1[H])*1c4c([H])c([H])c([H])c([H])c4Sc4c([H])c([H])c([H])c(c41)*3c1c([H])c([H])c([H])c([H])c1*2,[16*]F,
361,[H]C1([H])*SC(=S)*1,[8*]C([H])(C([H])([H])[H])C([H])([H])[H],
362,[H]c1c([H])c([H])c2c(c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])nc3c4c5c(c([H])c32)-n2c3c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c3c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c32)B5c2c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c5c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c5n-4c23)c1[H],[6*]C([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],
363,[H]C1=C(C([H])([H])[H])*C(C([H])([H])[H])=C([H])*1,[2*]C(=C([H])C(=O)c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H],
364,*c1c([H])c([H])c([H])c([H])c1*c1c(*)c([H])c([H])c([H])c1[H],[17*]O[H],
365,[H]c1c([H])c2c3c(c1[H])N1c4c([H])c([H])c([H])c([H])c4C(C([H])([H])[H])(C([H])([H])[H])c4c([H])c([H])c([H])c(c41)B3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1O2,[9*]C([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H],
366,[H]c1c([H])c([H])c2c(c1[H])Sc1c([H])c([H])c([H])c3c1N2c1c([H])c([H])c([H])c2c1B3c1c([H])c([H])c([H])c3c1N2c1c([H])c([H])c([H])c([H])c1[Se]3,[15*]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],
367,[H]c1c([H])c2c3c(c1Br)-n1c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c41)B3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4n-2c13,[9*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],
368,[H]c1*c([H])c(C2=*O**2)c([H])c1[H],[22*]c1c([H])c([H])c([H])c([H])c1[H],
369,*C1([H])O*c2c([H])c([H])c([H])c([H])c21,[13*]Cl,
370,*c1c([H])c([H])c([H])c([H])c1C(*)([H])C([H])([H])[H],[27*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],
371,[H]c1c2c3c(c([H])c1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])*c1c(C([H])([H])[H])c([H])c4c([H])c([H])c5c([H])c([H])c([H])c([H])c5c4c1*3c1c(c([H])c([H])c3c([H])c([H])c([H])c([H])c13)*2,[2*]OC([H])([H])[H],
372,*c1*c([H])c([H])c1-c1c([H])c([H])c([H])c([H])c1[H],[9*]c1c([H])c([H])c([H])c([H])c1[H],
373,*C([H])(C1([H])*C([H])=C(C(=O)OC([H])([H])[H])C([H])=C1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[9*][Si](c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H],
374,*C1([H])C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=C([H])C([H])([H])*2C(=O)c3c([H])c([H])c([H])c([H])c3C21C([H])([H])[H],[6*]c1c([H])c([H])c([H])c([H])c1[H],
375,*-c1c([H])c2c3c4*(c5c([H])c([H])c([H])c([H])c5c14)-c1c([H])c([H])c([H])c([H])c1*3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c1*-2c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c13,[8*]C(=O)C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],
376,[H]c1c([H])c2c3c(c1[H])-*1c4c([H])c([H])c([H])c([H])c4c4c([H])c5*c6c([H])c([H])c([H])c([H])c6c5c(c14)*3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c1*-2c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c13,[19*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],
377,*c1c([H])c(*)c([H])c([H])c1[H],[20*]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],
378,*c1c([H])c([H])c(*)c(C(*)([H])[H])c1[H],[17*]S(=O)(=O)C([H])([H])[H],
379,*c1c([H])*c2c([H])c(F)c([H])c([H])c12,[15*]c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H],
380,*C1([H])O*c2c([H])c([H])c(F)c([H])c21,[20*]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],
