Motif,SMILES,Type
1,[*]C1N([H])C([*])CC1,Aminocat.
2,[H]N(C1[*])C([*])N(C)C1=O,Aminocat.
3,[*]NC(N[*])=O,DHBD
4,[*]NC(N[*])=S,DHBD
5,O=C1C(N[*])=C(C1=O)N[*],DHBD
6,S=C1C(N[*])=C(C1=S)N[*],DHBD
7,O=C1C(N[*])=C1N[*],DHBD
8,S=C1C(N[*])=C1N[*],DHBD
9,O=C(C1=O)C(N[*])=C(C1=O)N[*],DHBD
10,O=S(N[*])(N[*])=O,DHBD
11,[H]C1=[N+]([*])N=C([*])N1[*],NHC
12,[H]C1=[N+]([*])N=C([*])S1,NHC
13,[H]C1=[N+]([*])C([*])=C([*])N1[*],NHC
14,[H]C1=[N+]([*])C([*])C([*])N1[*],NHC
15,[H]C1=[N+]([*])C([*])=C([*])S1,NHC
16,[H]C1=[N+]([*])N=NN1[*],NHC
17,[H]C1=[N+]([*])C(C=CC=C2)=C2N1[*],NHC
18,[H]C1=[N+]([*])C2CCCCC2N1[*],NHC
19,[H]C1=[N+]([*])N=C2N1C([*])CC2,NHC
20,[H]C1=[N+]([*])N=C2N1C([*])COC2,NHC
21,[H]C1=[N+]([*])N=C2N1C3C(OC2)CC4=C3C=CC=C4,NHC
22,[H]OP1(OC2=C(C3=C([*])C([*])=CC([*])=C3O1)C([*])=C([*])C=C2[*])=O,PA
23,[H]OP1(OC2=C(C3=C([*])C([*])=CC([*])=C3O1)C([*])=C([*])C=C2[*])=S,PA
24,[H]OP1(OC2=C([*])C=C3C(C=CC([*])=C3)=C2C4=C(C([*])=CC5=C4C=CC([*])=C5)O1)=O,PA
25,[H]OP1(OC2=C([*])C=C3C(C=CC([*])=C3)=C2C4=C(C([*])=CC5=C4C=CC([*])=C5)O1)=S,PA
26,O=P1(OC2=C(C3=C(C=C2[*])C=C([*])C=C3)C4=C5C=CC([*])=CC5=CC([*])=C4O1)N(S(=O)(C(F)(F)F)=O)[H],PA
27,S=P1(OC2=C(C3=C(C=C2[*])C=C([*])C=C3)C4=C5C=CC([*])=CC5=CC([*])=C4O1)N(S(=O)(C(F)(F)F)=O)[H],PA
28,O=P1(OC2=C(C3=C(C=C2[*])C=C([*])C=C3)C4=C5C=CC([*])=CC5=CC([*])=C4O1)N[*],PA
29,S=P1(OC2=C(C3=C(C=C2[*])C=C([*])C=C3)C4=C5C=CC([*])=CC5=CC([*])=C4O1)N[*],PA
30,[H]OP1(OC2=C([*])C=C3C(CCCC3)=C2C4=C(C([*])=CC5=C4CCCC5)O1)=O,PA
31,[H]OP1(OC2=C([*])C=C3C(CCCC3)=C2C4=C(C([*])=CC5=C4CCCC5)O1)=S,PA
32,O=P1(OC2=C(C3=C(C=C2[*])CCCC3)C4=C5CCCCC5=CC([*])=C4O1)N(S(=O)(C(F)(F)F)=O)[H],PA
33,S=P1(OC2=C(C3=C(C=C2[*])CCCC3)C4=C5CCCCC5=CC([*])=C4O1)N(S(=O)(C(F)(F)F)=O)[H],PA
34,O=P1(OC2=C(C3=C(C=C2[*])CCCC3)C4=C5CCCCC5=CC([*])=C4O1)N[*],PA
35,S=P1(OC2=C(C3=C(C=C2[*])CCCC3)C4=C5CCCCC5=CC([*])=C4O1)N[*],PA
36,O=P1(OC2=C([*])C=CC3=C2C4(CC3([*])[*])CC([*])([*])C5=C4C(O1)=C([*])C=C5)O[H],PA
37,S=P1(OC2=C([*])C=CC3=C2C4(CC3([*])[*])CC([*])([*])C5=C4C(O1)=C([*])C=C5)O[H],PA
38,O=P1(OC2=C([*])C=CC3=C2C4(CC3([*])[*])CC([*])([*])C5=C4C(O1)=C([*])C=C5)N(S(=O)(C(F)(F)F)=O)[H],PA
39,S=P1(OC2=C([*])C=CC3=C2C4(CC3([*])[*])CC([*])([*])C5=C4C(O1)=C([*])C=C5)N(S(=O)(C(F)(F)F)=O)[H],PA
40,O=P1(OC2=C([*])C=CC3=C2C4(CC3([*])[*])CC([*])([*])C5=C4C(O1)=C([*])C=C5)N[*],PA
41,S=P1(OC2=C([*])C=CC3=C2C4(CC3([*])[*])CC([*])([*])C5=C4C(O1)=C([*])C=C5)N[*],PA
42,[*]N([*])P(OC1=C([*])C=C2C(C=CC([*])=C2)=C31)OC4=C3C5=C(C=C([*])C=C5)C=C4[*],LB
43,[H]OP1(OC([*])([*])C2C(OC([*])([*])O2)C([*])([*])O1)=O,PA
44,[H]OP1(OC([*])([*])C2C(OC([*])([*])O2)C([*])([*])O1)=S,PA
45,[H]OC1=C([*])C=C2C(C=CC=C2)=C1C3=C(C([*])=CC4=C3C=CC=C4)O[H],SHBD
46,[H]OC1=C([*])C=C2C(CCCC2)=C1C3=C(C([*])=CC4=C3CCCC4)O[H],SHBD
47,[H]OC([*])([*])C1=C(C2=C(C=C1)C=CC=C2)C3=C4C=CC=CC4=CC=C3C([*])([*])O[H],SHBD
48,[H]OC([*])([*])C1=C(C2=C(C=C1)CCCC2)C3=C4CCCCC4=CC=C3C([*])([*])O[H],SHBD
49,[H]OC1=C2C(C=CC=C2)=CC([*])=C1C3=C(C4=C(C=C3[*])C=CC=C4)O[H],SHBD
50,[H]OC1=C([*])C=CC2=C1C3(CC([*])([*])C4=C3C(O[H])=C([*])C=C4)CC2([*])[*],SHBD
51,[H]OC([*])([*])C1C(OC([*])([*])O1)C([*])([*])O[H],SHBD
52,C=CC1C(CC2C(C3=CC=NC4=C3C=C([*])C=C4)O[*])CCN2C1,BB
53,C=CC1C(CC2C(C3=CC=NC4=C3C=C(C=C4)N[*])O[*])CCN2C1,BB
54,[*]N=P([*])([*])[*],BB
55,C=CC1C(CC2C(C3=CC=NC4=C3C=C([*])C=C4)O[*])CC[N+]2([*])C1,LA
56,C=CC1C(CC2C(C3=CC=[N+]([*])C4=C3C=C([*])C=C4)O[*])CC[N+]2([*])C1,LA
57,[*]C1=CC=CC(C2=C(C3)C([*])=CC=C2)=C1C[N+]43CC5=C([*])C=CC=C5C6=C(C([*])=CC=C6)C4,LA
58,[O-][N+]1=C([*])C([*])=CC([*])=C1[*],LB
59,[O-][N+]1=C([*])C(C=CC=C2)=C2C=C1[*],LB
60,[O-][N+]1=C([*])C(CCCC2)=C2C=C1[*],LB
61,[O-][N+]1=C([*])C(C2CC(C3)C2([*])[*])=C3C=C1[*],LB
62,[O-][N+]1=C([*])C([*])=CC2=C1C([*])=CC=C2,LB
63,[O-][N+]1=C([*])C([*])=C2C(C=CC=C2)=C1[*],LB
64,O=P(N([*])[*])(N([*])[*])N([*])[*],LB
